rank,token_id,torch_bf16,arle_tq4,abs_err,rel_err
0,175169,-15.125,-14.25,0.875,0.057851240038871765
1,11,14.25,14.4375,0.1875,0.01315789483487606
2,53983,-14.1875,-13.75,0.4375,0.030837005004286766
3,0,13.3125,12.875,0.4375,0.03286384791135788
4,4858,12.25,11.875,0.375,0.030612245202064514
5,158457,-12.1875,-12.25,0.0625,0.0051282052882015705
6,9332,-12.125,-12.4375,0.3125,0.025773195549845695
7,13,12.0,11.6875,0.3125,0.02604166604578495
8,1017,11.6875,11.3125,0.375,0.03208556026220322
9,10835,-11.625,-12.0,0.375,0.032258063554763794
10,171407,-11.125,-11.0625,0.0625,0.00561797758564353
11,14313,-11.125,-9.625,1.5,0.13483145833015442
12,111890,-11.0,-10.0625,0.9375,0.08522727340459824
13,170768,-11.0,-11.625,0.625,0.05681818351149559
14,321,10.9375,10.0625,0.875,0.07999999821186066
15,88185,-10.8125,-9.9375,0.875,0.080924853682518
16,38600,-10.75,-9.5,1.25,0.11627907305955887
17,43106,-10.75,-8.8125,1.9375,0.18023255467414856
18,1281,-10.6875,-9.875,0.8125,0.0760233923792839
19,4627,10.625,10.6875,0.0625,0.0058823530562222
20,139104,-10.625,-10.375,0.25,0.0235294122248888
21,164503,-10.625,-10.25,0.375,0.03529411926865578
22,12004,10.625,10.5625,0.0625,0.0058823530562222
23,660,10.625,10.625,0.0,0.0
24,198541,-10.5625,-10.125,0.4375,0.041420117020606995
25,196104,-10.5625,-9.8125,0.75,0.0710059180855751
26,48123,-10.5,-9.9375,0.5625,0.0535714291036129
27,1167,10.5,9.4375,1.0625,0.1011904776096344
28,102779,-10.5,-10.6875,0.1875,0.01785714365541935
29,45308,-10.4375,-9.4375,1.0,0.09580838680267334
30,353,10.375,9.8125,0.5625,0.05421686917543411
31,107132,-10.25,-10.1875,0.0625,0.006097560748457909
32,146892,-10.25,-9.25,1.0,0.09756097197532654
33,227764,-10.25,-9.9375,0.3125,0.030487805604934692
34,236364,-10.1875,-9.75,0.4375,0.042944785207509995
35,149678,-10.1875,-9.9375,0.25,0.024539876729249954
36,53828,-10.1875,-9.1875,1.0,0.09815950691699982
37,3709,10.1875,9.6875,0.5,0.04907975345849991
38,147682,-10.1875,-11.0625,0.875,0.08588957041501999
39,226836,-10.125,-9.6875,0.4375,0.043209876865148544
40,105120,-10.125,-9.1875,0.9375,0.09259258955717087
41,209812,-10.125,-9.5,0.625,0.06172839552164078
42,229560,-10.125,-10.4375,0.3125,0.03086419776082039
43,47665,-10.125,-9.625,0.5,0.04938271641731262
44,166301,-10.0625,-9.75,0.3125,0.03105590119957924
45,211099,-10.0625,-8.9375,1.125,0.11180124431848526
46,628,10.0625,9.5625,0.5,0.04968944191932678
47,93060,-10.0625,-9.3125,0.75,0.07453416287899017
48,133963,-10.0625,-9.625,0.4375,0.043478261679410934
49,126928,-10.0,-9.8125,0.1875,0.01875000074505806
50,87887,-10.0,-9.625,0.375,0.03750000149011612
51,52234,-10.0,-9.1875,0.8125,0.08124999701976776
52,231293,-9.9375,-9.875,0.0625,0.006289307959377766
53,1495,9.9375,8.375,1.5625,0.15723270177841187
54,72312,-9.9375,-9.9375,0.0,0.0
55,134787,-9.9375,-9.625,0.3125,0.03144654259085655
56,5023,-9.875,-10.0625,0.1875,0.018987340852618217
57,91554,-9.875,-9.0,0.875,0.08860759437084198
58,17525,-9.875,-9.5625,0.3125,0.03164556995034218
59,203454,-9.875,-9.375,0.5,0.050632912665605545
60,116358,-9.875,-9.125,0.75,0.07594936341047287
61,81218,-9.875,-9.75,0.125,0.012658228166401386
62,207385,-9.875,-9.5,0.375,0.037974681705236435
63,72107,-9.875,-9.4375,0.4375,0.04430379718542099
