rank,row,col,bf16_source,python_faithful,arle_cuda,cuda_vs_python_abs,cuda_vs_python_rel
0,1,900,0.0076904296875,0.007904133759438992,-0.0079345703125,0.015838705003261566,2.0038509368896484
1,3,3682,0.014892578125,0.015808334574103355,-0.015869140625,0.031677477061748505,2.0038466453552246
2,3,1256,0.00811767578125,0.007843781262636185,-0.00787353515625,0.015717316418886185,2.003793239593506
3,6,2213,0.0157470703125,0.016052432358264923,-0.01611328125,0.03216571360826492,2.0037906169891357
4,6,2104,-0.007293701171875,-0.007843873463571072,0.00787353515625,0.015717409551143646,2.00378155708313
5,6,2752,-0.0172119140625,-0.01568779908120632,0.0157470703125,0.03143487125635147,2.0037782192230225
6,6,3179,0.016357421875,0.01593121699988842,-0.0159912109375,0.03192242980003357,2.003765821456909
7,3,1469,-0.0142822265625,-0.015688132494688034,0.0157470703125,0.031435202807188034,2.0037567615509033
8,4,1726,0.0030059814453125,0.004013347905129194,-0.0040283203125,0.008041668683290482,2.0037307739257812
9,2,368,0.00160980224609375,0.001018549664877355,-0.0010223388671875,0.002040888648480177,2.003720283508301
10,6,3238,-0.00469970703125,-0.004043800290673971,0.004058837890625,0.008102638646960258,2.003718852996826
11,3,3597,0.00848388671875,0.008148422464728355,-0.0081787109375,0.016327133402228355,2.0037171840667725
12,7,3317,0.0157470703125,0.01605365239083767,-0.01611328125,0.03216693550348282,2.0037145614624023
13,0,2172,-0.0155029296875,-0.015810519456863403,0.015869140625,0.0316796600818634,2.0037076473236084
14,3,2118,0.0081787109375,0.007844540290534496,-0.00787353515625,0.01571807637810707,2.0036962032318115
15,3,2788,-0.01611328125,-0.01617562584578991,0.0162353515625,0.03241097927093506,2.003692388534546
16,5,2914,0.017333984375,0.01605401188135147,-0.01611328125,0.03216729313135147,2.0036919116973877
17,5,3219,0.00958251953125,0.007966290228068829,-0.00799560546875,0.015961896628141403,2.0036799907684326
18,7,1141,-0.0167236328125,-0.015932586044073105,0.0159912109375,0.031923796981573105,2.0036795139312744
19,6,392,-0.017333984375,-0.016175929456949234,0.0162353515625,0.032411281019449234,2.003673553466797
20,5,250,-0.003631591796875,-0.00398319773375988,0.003997802734375,0.00798100046813488,2.003666639328003
21,5,154,0.01708984375,0.015811236575245857,-0.015869140625,0.03168037533760071,2.003662109375
22,5,3996,0.01531982421875,0.01568961702287197,-0.0157470703125,0.03143668919801712,2.003661870956421
23,0,1779,0.00775146484375,0.008331323973834515,-0.00836181640625,0.01669314131140709,2.003660202026367
24,1,2326,-0.0034942626953125,-0.0019612079486250877,0.0019683837890625,0.003929591737687588,2.0036587715148926
25,5,3322,-0.002197265625,-0.00407445291057229,0.00408935546875,0.008163807913661003,2.003657341003418
26,1,1452,-0.00162506103515625,-0.0010186214931309223,0.0010223388671875,0.0020409603603184223,2.0036494731903076
27,6,2122,0.007171630859375,0.008148979395627975,-0.0081787109375,0.016327690333127975,2.003648519515991
28,7,237,-0.0140380859375,-0.01617635227739811,0.0162353515625,0.03241170197725296,2.0036470890045166
29,0,70,-0.0172119140625,-0.01654127426445484,0.0166015625,0.03314283490180969,2.0036447048187256
30,2,1583,-0.0020599365234375,-0.0010186313884332776,0.0010223388671875,0.0020409701392054558,2.0036394596099854
31,3,1246,-0.007781982421875,-0.008027455769479275,0.008056640625,0.01608409732580185,2.0036356449127197
32,4,3734,-0.00830078125,-0.008149095810949802,0.0081787109375,0.016327805817127228,2.003633975982666
33,7,2038,-0.01708984375,-0.016541525721549988,0.0166015625,0.03314308822154999,2.003629446029663
34,1,4005,0.0072021484375,0.008027592673897743,-0.008056640625,0.016084233298897743,2.0036184787750244
35,3,2,-0.0142822265625,-0.016298485919833183,0.016357421875,0.03265590965747833,2.0036160945892334
36,0,2085,0.0159912109375,0.01642017811536789,-0.0164794921875,0.03289967030286789,2.0036122798919678
37,7,2554,-0.000591278076171875,-0.001026261248625815,0.00102996826171875,0.002056229393929243,2.0036120414733887
38,1,1945,-0.0004405975341796875,-0.0005017286166548729,0.0005035400390625,0.001005268655717373,2.003610372543335
39,3,743,-0.00372314453125,-0.003953028470277786,0.00396728515625,0.007920313626527786,2.0036065578460693
40,5,2231,0.0172119140625,0.016177013516426086,-0.0162353515625,0.032412365078926086,2.0036063194274902
41,4,3450,-0.00104522705078125,-0.003983438480645418,0.003997802734375,0.00798124074935913,2.003605842590332
42,7,1427,-0.0038299560546875,-0.004013911820948124,0.0040283203125,0.008042232133448124,2.003589630126953
43,0,2118,-0.0089111328125,-0.007967024110257626,0.00799560546875,0.0159626305103302,2.003587484359741
44,1,2750,0.001129150390625,0.002082992345094681,-0.0020904541015625,0.004173446446657181,2.003582239151001
45,5,2663,-0.00921630859375,-0.008331984281539917,0.00836181640625,0.016693800687789917,2.003580331802368
46,7,734,-0.006317138671875,-0.007906265556812286,0.0079345703125,0.015840835869312286,2.003580093383789
47,4,1506,-0.018310546875,-0.016785698011517525,0.016845703125,0.033631399273872375,2.0035746097564697
48,1,1916,0.007720947265625,0.008210519328713417,-0.00823974609375,0.016450265422463417,2.0035595893859863
49,5,616,-0.001953125,-0.0010491246357560158,0.0010528564453125,0.0021019810810685158,2.003556966781616
50,4,2653,-0.016357421875,-0.01569126360118389,0.0157470703125,0.03143833577632904,2.003556728363037
51,0,4071,-0.0164794921875,-0.015934612601995468,0.0159912109375,0.03192582353949547,2.003551959991455
52,3,3221,0.0036773681640625,0.003922839183360338,-0.003936767578125,0.007859606295824051,2.0035505294799805
53,6,127,0.006439208984375,0.00845395214855671,-0.00848388671875,0.01693783886730671,2.0035409927368164
