timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 13:54:23.229, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:28.234, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:33.234, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:38.235, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:43.235, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:48.236, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:54:53.236, 15063 MiB, 881 MiB, 96 %
2026/05/22 13:54:58.237, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:55:03.237, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:55:08.237, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:55:13.238, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:55:18.238, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:55:23.239, 15063 MiB, 881 MiB, 96 %
2026/05/22 13:55:28.239, 15063 MiB, 881 MiB, 96 %
2026/05/22 13:55:33.240, 15063 MiB, 881 MiB, 99 %
2026/05/22 13:55:38.240, 15095 MiB, 849 MiB, 0 %
2026/05/22 13:55:43.241, 15063 MiB, 881 MiB, 97 %
2026/05/22 13:55:48.241, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:55:53.242, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:55:58.242, 15063 MiB, 881 MiB, 99 %
2026/05/22 13:56:03.242, 15095 MiB, 849 MiB, 97 %
2026/05/22 13:56:08.243, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:56:13.243, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:56:18.244, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:56:23.244, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:56:28.245, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:56:33.245, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:56:38.246, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:56:43.246, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:56:48.246, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:56:53.247, 15063 MiB, 881 MiB, 96 %
2026/05/22 13:56:58.247, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:03.248, 15095 MiB, 849 MiB, 99 %
2026/05/22 13:57:08.248, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:13.249, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:18.249, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:23.249, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:57:28.250, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:57:33.250, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:38.251, 15063 MiB, 881 MiB, 97 %
2026/05/22 13:57:43.251, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:48.251, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:53.252, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:57:58.252, 15095 MiB, 849 MiB, 100 %
