timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 13:25:05.961, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:10.966, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:15.967, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:20.967, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:25.967, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:30.968, 15031 MiB, 913 MiB, 0 %
2026/05/22 13:25:35.968, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:25:40.969, 15095 MiB, 849 MiB, 95 %
2026/05/22 13:25:45.969, 15095 MiB, 849 MiB, 95 %
2026/05/22 13:25:50.970, 15095 MiB, 849 MiB, 96 %
2026/05/22 13:25:55.970, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:26:00.971, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:05.971, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:10.972, 15063 MiB, 881 MiB, 95 %
2026/05/22 13:26:15.972, 15063 MiB, 881 MiB, 96 %
2026/05/22 13:26:20.972, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:25.973, 15063 MiB, 881 MiB, 99 %
2026/05/22 13:26:30.973, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:35.974, 15095 MiB, 849 MiB, 99 %
2026/05/22 13:26:40.974, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:45.975, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:26:50.975, 15095 MiB, 849 MiB, 97 %
2026/05/22 13:26:55.976, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:00.976, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:27:05.976, 15095 MiB, 849 MiB, 96 %
2026/05/22 13:27:10.977, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:27:15.977, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:20.978, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:25.978, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:30.979, 15095 MiB, 849 MiB, 99 %
2026/05/22 13:27:35.979, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:40.980, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:45.980, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:27:50.981, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:27:55.981, 15063 MiB, 881 MiB, 99 %
2026/05/22 13:28:00.982, 15063 MiB, 881 MiB, 100 %
2026/05/22 13:28:05.982, 15063 MiB, 881 MiB, 97 %
2026/05/22 13:28:10.982, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:28:15.983, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:28:20.983, 15095 MiB, 849 MiB, 100 %
2026/05/22 13:28:25.984, 15095 MiB, 849 MiB, 100 %
