timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 11:26:02.807, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:03.811, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:04.812, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:05.812, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:06.812, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:07.812, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:08.812, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:09.813, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:10.813, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:11.813, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:12.813, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:13.814, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:14.814, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:15.814, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:16.814, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:17.814, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:18.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:19.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:20.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:21.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:22.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:23.815, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:24.816, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:25.816, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:26.816, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:27.816, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:28.817, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:29.817, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:30.817, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:31.817, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:32.817, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:33.818, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:34.818, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:35.818, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:36.818, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:37.818, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:38.819, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:39.819, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:40.819, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:41.819, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:42.819, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:43.820, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:44.820, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:45.820, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:46.820, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:47.820, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:48.821, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:49.821, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:50.821, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:51.821, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:52.821, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:53.822, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:54.822, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:55.822, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:56.822, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:57.822, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:58.823, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:26:59.823, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:00.823, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:01.823, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:02.823, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:03.824, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:04.824, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:05.824, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:06.824, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:07.824, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:08.825, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:09.825, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:10.825, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:11.825, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:12.825, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:13.826, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:14.826, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:15.826, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:16.826, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:17.826, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:18.827, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:19.827, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:20.827, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:21.827, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:22.827, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:23.828, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:24.828, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:25.828, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:26.828, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:27.828, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:28.829, 1082 MiB, 14862 MiB, 0 %
