timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 12:55:17.081, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:18.086, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:19.086, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:20.086, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:21.086, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:22.086, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:23.087, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:24.087, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:25.087, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:26.087, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:27.087, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:28.088, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:29.088, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:30.088, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:31.088, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:32.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:33.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:34.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:35.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:36.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:37.089, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:38.090, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:39.090, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:40.090, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:41.090, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:42.090, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:43.091, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:44.091, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:45.091, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:55:46.091, 1082 MiB, 14862 MiB, 0 %
