timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 12:08:31.661, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:32.665, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:33.665, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:34.665, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:35.666, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:36.666, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:37.666, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:38.666, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:39.666, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:40.667, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:41.667, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:42.667, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:43.667, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:44.667, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:45.668, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:46.668, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:47.668, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:48.668, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:49.668, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:50.669, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:51.669, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:52.669, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:53.669, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:54.669, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:55.670, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:56.670, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:57.670, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:58.670, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:08:59.670, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:09:00.671, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:09:01.671, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:09:02.671, 1082 MiB, 14862 MiB, 0 %
