timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 03:41:44.773, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:45.278, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:45.778, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:46.278, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:46.778, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:47.278, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:47.779, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:48.279, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:48.779, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:49.279, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:49.779, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:50.280, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:50.780, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:51.280, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:51.780, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:52.280, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:52.781, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:53.281, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:53.781, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:54.281, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:54.781, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:55.282, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:55.782, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:56.282, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:56.782, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:57.283, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:57.783, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:58.283, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:58.783, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:59.283, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:41:59.784, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:00.284, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:00.784, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:01.284, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:01.784, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:02.285, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:02.785, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:03.285, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:03.785, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:04.285, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:04.786, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:05.286, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:05.786, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:06.286, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:06.787, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:07.287, 1082 MiB, 14862 MiB, 0 %
