total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
782.904992,21616,97.863124,36.218773,2.507,1685.596,cuStreamSynchronize
307.292147,11988,38.411518,25.633312,0.121,409.176,cuMemFreeAsync
186.770919,11980,23.346365,15.590227,0.121,415.732,cuMemAllocAsync
160.648342,15080,20.081043,10.653073,2.696,77.972,cudaLaunchKernel_v7000
129.443056,13050,16.180382,9.919008,0.112,77.429,cuMemsetD8Async
62.70364,883,7.837955,71.01205,11.98,550.748,cuMemcpyDtoHAsync_v2
27.434864,4136,3.429358,6.633188,0.473,66.266,cudaEventRecord_v3020
24.243774,3440,3.030472,7.047609,0.599,83.019,cudaStreamWaitEvent_v3020
19.702602,1720,2.462825,11.455001,3.533,66.577,cuLaunchKernelEx
17.003672,5200,2.125459,3.269937,0.244,45.579,cudaStreamGetCaptureInfo_v2_v11030
12.149512,859,1.518689,14.143786,3.43,76.7,cuMemcpyDtoDAsync_v2
10.777443,891,1.34718,12.095896,2.781,72.632,cuMemcpyHtoDAsync_v2
5.121314,1720,0.640164,2.977508,0.15,55.201,cudaGetFuncBySymbol_v11000
