total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
221.654001,9488,27.70675,23.361509,0.517,548.087,cuMemFreeAsync
217.162185,9480,27.145273,22.907403,0.547,528.595,cuMemAllocAsync
161.220997,885,20.152625,182.170618,11.59,1806.312,cuMemcpyDtoHAsync_v2
145.504654,15084,18.188082,9.646291,2.971,105.589,cudaLaunchKernel_v7000
97.373242,10554,12.171655,9.226193,1.532,87.596,cuMemsetD8Async
31.873357,4136,3.98417,7.706324,0.469,65.915,cudaEventRecord_v3020
27.808294,3440,3.476037,8.083806,0.558,79.446,cudaStreamWaitEvent_v3020
21.406203,1720,2.675775,12.445467,3.121,71.215,cuLaunchKernelEx
14.787619,5200,1.848452,2.843773,0.242,45.563,cudaStreamGetCaptureInfo_v2_v11030
14.169725,865,1.771216,16.381185,4.696,67.021,cuMemcpyDtoDAsync_v2
9.899134,893,1.237392,11.085256,2.59,64.26,cuMemcpyHtoDAsync_v2
6.499579,1720,0.812447,3.778825,0.135,61.605,cudaGetFuncBySymbol_v11000
