total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
217.920924,1032,27.240116,211.163686,4.767,1539.939,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
174.055916,344,21.756989,505.9765,14.912,2222.079,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
91.800544,2920,11.475068,31.438542,20.704,45.024,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
86.933564,774,10.866696,112.317266,101.952,122.112,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
56.906323,328,7.11329,173.494887,128.864,217.6,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
45.283729,344,5.660466,131.638747,46.752,139.744,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
44.026767,688,5.503346,63.992394,63.36,64.672,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
32.324575,168,4.040572,192.408185,187.391,197.248,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
28.885703,344,3.610713,83.970067,7.615,749.247,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.555386,1504,1.069423,5.688422,4.192,9.184,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
4.790724,496,0.59884,9.658718,1.631,24.672,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
3.471948,1376,0.433993,2.523218,1.792,3.296,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
3.253057,8,0.406632,406.632125,405.76,407.167,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.176054,696,0.272007,3.126514,2.144,3.488,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
1.602689,16,0.200336,100.168063,99.744,100.704,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
1.554085,344,0.194261,4.517689,4.288,4.929,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
1.396874,688,0.174609,2.03034,1.855,2.592,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
1.155842,696,0.14448,1.660693,1.568,1.76,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
1.104094,344,0.138012,3.209576,2.976,3.392,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
1.039902,688,0.129988,1.511485,1.407,1.76,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
1.02067,197,0.127584,5.181066,4.416,5.919,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.897419,344,0.112177,2.608776,2.336,2.817,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.866184,602,0.108273,1.438844,1.344,1.536,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.771878,344,0.096485,2.243831,2.112,2.56,"dsv4_combine_route_outputs_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.506368,344,0.063296,1.472,1.215,1.824,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.437248,344,0.054656,1.27107,1.088,1.472,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.416634,258,0.052079,1.61486,1.472,2.048,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.395999,344,0.0495,1.15116,0.96,1.312,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.283523,197,0.03544,1.439203,1.088,1.855,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
