total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
225.617419,9136,28.202177,24.695427,0.619,580.891,cuMemAllocAsync
217.752824,9144,27.219103,23.813738,0.497,430.666,cuMemFreeAsync
179.153529,885,22.394191,202.433366,11.874,2453.473,cuMemcpyDtoHAsync_v2
169.999764,15084,21.24997,11.270204,2.812,111.659,cudaLaunchKernel_v7000
113.209326,10210,14.151166,11.088083,1.56,100.882,cuMemsetD8Async
38.202274,4136,4.775284,9.236527,0.492,64.382,cudaEventRecord_v3020
33.653409,3440,4.206676,9.782968,0.587,71.356,cudaStreamWaitEvent_v3020
25.716348,1720,3.214543,14.951365,3.224,82.037,cuLaunchKernelEx
18.067474,5200,2.258434,3.474514,0.244,73.506,cudaStreamGetCaptureInfo_v2_v11030
15.723365,865,1.965421,18.177301,5.088,81.074,cuMemcpyDtoDAsync_v2
11.971905,893,1.496488,13.406389,2.623,128.373,cuMemcpyHtoDAsync_v2
8.199094,1720,1.024887,4.766915,0.154,62.668,cudaGetFuncBySymbol_v11000
