Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.5,1214622314,1048,1158990.8,441446.0,12137,5404630,1394652.1,cuMemcpyDtoHAsync_v2
28.4,1168926959,35467,32958.2,2025.0,523,1174160,75553.6,cuMemFreeAsync
17.0,700755147,35467,19757.9,5058.0,500,551051,38201.5,cuMemAllocAsync
12.2,500819412,41707,12008.0,8526.0,2694,364964,15917.4,cudaLaunchKernel
6.6,271658695,28475,9540.3,6256.0,1173,349356,13902.5,cuMemsetD8Async
1.1,45036353,6208,7254.6,3673.0,472,345391,14209.7,cudaEventRecord
1.1,44332870,16,2770804.4,2746523.5,207951,5755080,2521582.1,cuStreamSynchronize
1.0,39386581,5504,7156.0,3387.0,606,305938,15117.8,cudaStreamWaitEvent
0.8,31996018,2752,11626.5,8282.0,3306,318632,15018.5,cuLaunchKernelEx
0.7,28662361,2080,13780.0,9774.5,3030,324225,16017.1,cuMemcpyHtoDAsync_v2
0.7,27114385,1752,15476.2,11029.0,4238,340013,16233.2,cuMemcpyDtoDAsync_v2
0.7,26985527,6272,4302.5,1842.0,246,325402,10960.9,cudaStreamGetCaptureInfo_v2_v11030
0.2,8596093,2752,3123.6,813.0,134,295352,9344.2,cudaGetFuncBySymbol_v11000
0.1,4925704,344,14318.9,11760.0,4467,267190,15693.1,cudaMemsetAsync
0.0,1485369,8,185671.1,206252.0,79221,270471,69214.2,cuMemGetInfo_v2
0.0,21306,2,10653.0,10653.0,6980,14326,5194.4,cuCtxSynchronize
0.0,6122,1,6122.0,6122.0,6122,6122,0.0,cuProfilerStart
0.0,1624,1,1624.0,1624.0,1624,1624,0.0,cuProfilerStop
0.0,1130,1,1130.0,1130.0,1130,1130,0.0,cuCtxSetCurrent
