Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.7,1045814337,6381,163895.1,118241.0,101536,980481,109169.6,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
31.0,990731130,1720,576006.5,117071.5,5504,5767988,1048398.0,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.4,460889613,2920,157838.9,133184.0,69184,264832,58285.5,"dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
5.0,158844113,688,230878.1,38048.0,14848,7605740,506980.9,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.0,94435199,656,143956.1,151119.5,59072,225663,58105.5,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
2.9,91846869,2920,31454.4,27455.0,20768,44736,8655.3,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
2.8,90283910,688,131226.6,137312.0,46720,139328,22976.5,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
2.8,88687646,1376,64453.2,64415.5,63456,66336,554.3,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
2.1,66318811,336,197377.4,197185.0,190048,203713,2212.5,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
0.8,24943886,992,25145.0,26416.5,2368,59104,17475.3,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.3,8961764,1536,5834.5,5728.0,4192,7104,798.4,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,8631054,1504,5738.7,4832.0,4192,9504,1559.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.2,6862912,2752,2493.8,2592.0,1823,3296,368.2,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.2,6543331,16,408958.2,408848.0,407616,410688,832.4,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.2,6039275,656,9206.2,10656.0,6912,11904,2009.7,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.2,4848229,1376,3523.4,3648.0,1472,5377,1494.9,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
0.1,4697617,2192,2143.1,2080.0,1728,2912,282.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,4221751,2815,1499.7,1472.0,1280,2496,120.1,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.1,4081024,344,11863.4,11776.0,7744,19296,2459.4,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,3715456,2127,1746.8,1600.0,1440,3841,364.7,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.1,3335425,688,4848.0,4832.0,4448,5568,249.4,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
0.1,3063850,688,4453.3,5312.0,1184,6144,1756.5,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.1,2329367,1376,1692.9,1792.0,1088,2080,186.8,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
0.1,2324896,688,3379.2,3295.0,3008,4224,277.1,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
0.1,2206362,704,3134.0,3136.0,2177,3488,136.2,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.1,2175649,32,67989.0,67792.5,30496,105439,37592.2,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.1,1937273,688,2815.8,2752.0,2336,3552,305.5,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.0,1294892,344,3764.2,3744.0,3488,4097,100.7,"dsv4_scatter_route_outputs_by_slot_kernel(const unsigned short *, unsigned short *, const int *, int, int)"
0.0,1169608,704,1661.4,1664.0,1568,1824,37.1,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,960131,688,1395.5,1376.0,1056,1792,157.9,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,932659,344,2711.2,2688.0,2528,3040,89.9,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,844514,344,2455.0,2464.0,2336,2624,42.8,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,833843,688,1212.0,1247.0,960,1377,100.8,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,812478,344,2361.9,2368.0,2208,2497,53.0,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,765055,344,2224.0,2208.5,2016,2656,98.5,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,514177,344,1494.7,1536.0,1152,1664,87.5,"dsv4_sum_bf16_rows_kernel(const unsigned short *, unsigned short *, int, int)"
0.0,496899,344,1444.5,1440.0,1375,1728,57.7,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,496773,344,1444.1,1440.0,1088,1792,135.9,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,460687,344,1339.2,1344.0,1215,1440,38.3,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,405158,344,1177.8,1216.0,927,1408,145.7,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
0.0,244960,16,15310.0,15312.0,15008,15584,179.5,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.0,205023,16,12813.9,12848.0,12256,13440,324.4,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.0,44769,16,2798.1,2752.0,2592,3040,125.8,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.0,34015,16,2125.9,2144.0,1408,2784,663.7,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,33122,16,2070.1,2047.5,1888,2432,161.7,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
