Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.5,1182255309,1048,1128106.2,178280.5,12049,5807016,1507524.7,cuMemcpyDtoHAsync_v2
29.5,1142550310,35059,32589.4,1628.0,529,1429974,77116.7,cuMemFreeAsync
14.8,573432286,35059,16356.2,5028.0,502,506357,25871.5,cuMemAllocAsync
13.9,537481706,41468,12961.4,9937.5,2662,265065,8738.7,cudaLaunchKernel
4.5,176087715,17672,9964.2,6719.5,1222,241979,8533.8,cuMemsetD8Async
1.3,48744785,6208,7851.9,4765.0,509,69139,8119.5,cudaEventRecord
1.2,45366274,16,2835392.1,2746701.0,353442,5765978,2524020.6,cuStreamSynchronize
1.1,41454625,5504,7531.7,4094.0,566,82020,8110.1,cudaStreamWaitEvent
0.8,32772891,2752,11908.8,8960.0,3055,71404,7932.6,cuLaunchKernelEx
0.8,30044868,2080,14444.6,11477.5,2780,90102,9906.4,cuMemcpyHtoDAsync_v2
0.7,28794110,6272,4590.9,2132.0,249,49921,5727.3,cudaStreamGetCaptureInfo_v2_v11030
0.6,22270206,1408,15816.9,11913.0,4539,89731,10611.7,cuMemcpyDtoDAsync_v2
0.2,9197865,2752,3342.2,908.0,145,47898,5503.2,cudaGetFuncBySymbol_v11000
0.1,4659531,344,13545.1,11494.0,4133,36279,7549.7,cudaMemsetAsync
0.0,1486431,8,185803.9,185537.5,77834,297963,83580.6,cuMemGetInfo_v2
0.0,24015,2,12007.5,12007.5,7476,16539,6408.5,cuCtxSynchronize
0.0,6650,1,6650.0,6650.0,6650,6650,0.0,cuProfilerStart
0.0,1854,1,1854.0,1854.0,1854,1854,0.0,cuCtxSetCurrent
0.0,1565,1,1565.0,1565.0,1565,1565,0.0,cuProfilerStop
