Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.9,1047286058,6402,163587.3,118144.5,94208,984513,108836.8,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
26.2,808676217,1376,587700.7,83920.0,5440,5792235,1147858.5,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.9,461266346,2920,157967.9,133168.0,68832,263296,58393.5,"dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
5.3,162734808,344,473066.3,515632.5,9088,1320030,296074.0,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.1,94458675,656,143991.9,151376.5,59296,226529,58070.1,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
3.0,91812678,2920,31442.7,27456.0,20640,45088,8660.7,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
2.9,90277057,688,131216.7,137343.0,46752,139585,22961.1,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
2.9,88689631,1376,64454.7,64448.0,63328,66016,556.3,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
2.1,66206496,336,197043.1,196800.0,189824,203424,2416.9,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
2.1,64392022,688,93593.1,32608.0,14528,7794637,440669.7,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.8,24926797,992,25127.8,26272.0,2432,58912,17462.7,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.3,8994530,1536,5855.8,5920.0,4255,7136,809.0,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,8607384,1504,5723.0,4832.0,4192,9536,1541.3,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.2,6869275,2752,2496.1,2560.5,1824,3263,372.3,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.2,6535422,16,408463.9,408575.5,406080,411328,1219.2,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.2,6076696,656,9263.3,10608.5,6881,12544,2091.0,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.2,4842346,1376,3519.1,3727.5,1568,5409,1511.5,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
0.2,4706418,2192,2147.1,2080.0,1728,2880,288.5,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,4254725,2836,1500.3,1472.0,1280,2496,121.3,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.1,3909011,344,11363.4,11056.5,7776,17280,2159.8,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,3754288,2148,1747.8,1600.0,1376,3904,363.3,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.1,3328625,688,4838.1,4832.0,4447,5472,239.2,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
0.1,3092237,688,4494.5,5280.0,1184,6016,1706.2,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.1,2336897,688,3396.7,3297.0,3008,4160,262.6,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
0.1,2329501,1376,1693.0,1760.0,1120,2144,190.3,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
0.1,2205951,704,3133.5,3136.0,2176,3488,138.1,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.1,2197184,42,52313.9,52192.0,50815,54720,760.0,"dsv4_fp4_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
0.1,2180703,32,68147.0,68288.0,30656,105856,37539.5,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.1,1941328,688,2821.7,2752.0,2336,3552,294.7,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.0,1291689,344,3754.9,3744.0,3455,4096,99.4,"dsv4_scatter_route_outputs_by_slot_kernel(const unsigned short *, unsigned short *, const int *, int, int)"
0.0,1172745,704,1665.8,1664.0,1536,1760,34.4,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,957346,688,1391.5,1376.0,1024,1792,162.3,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,935551,344,2719.6,2720.0,2528,3040,88.6,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
