name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16142,223.2386179999981,0.01382967525709318
cuMemAllocAsync,6760,68.57786699999984,0.010144654881656782
cuMemcpyDtoHAsync_v2,344,61.673845999999976,0.17928443604651156
cuMemsetD8Async,3640,44.33610599999987,0.012180248901098867
cuMemFreeAsync,3048,39.142692000000054,0.01284209055118112
cudaEventRecord_v3020,2760,25.20249099999998,0.009131337318840574
cudaStreamGetCaptureInfo_v2_v11030,4512,20.49615000000002,0.0045425864361702175
cudaStreamWaitEvent_v3020,2064,18.537113000000012,0.008981159399224812
cuMemcpyHtoDAsync_v2,1040,15.09152599999998,0.014511082692307673
cuLaunchKernelEx,1032,13.68744700000001,0.013263030038759699
cuMemcpyDtoDAsync_v2,360,4.966669999999996,0.013796305555555544
cudaGetFuncBySymbol_v11000,1032,3.6073820000000008,0.00349552519379845
cuStreamSynchronize,2,0.474012,0.237006
