Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.0,1075523005,1048,1026262.4,172893.0,12468,26413443,1612742.4,cuMemcpyDtoHAsync_v2
25.0,962668692,36774,26178.0,1739.0,524,1050132,68982.0,cuMemFreeAsync
19.5,751084411,36774,20424.3,5778.0,515,861018,34184.3,cuMemAllocAsync
13.2,506987738,41438,12234.9,9101.0,2763,404274,10844.2,cudaLaunchKernel
7.4,283693609,28470,9964.7,6672.0,1184,330229,11868.8,cuMemsetD8Async
1.2,48010167,6208,7733.6,4227.5,485,284025,9611.2,cudaEventRecord
1.1,42504493,16,2656530.8,2610144.0,133605,5398889,2457509.0,cuStreamSynchronize
1.1,40807240,5504,7414.1,3983.5,556,275067,8714.3,cudaStreamWaitEvent
0.8,32131276,2752,11675.6,8635.5,3468,293126,9391.9,cuLaunchKernelEx
0.8,30482762,2080,14655.2,10461.0,3180,341566,16658.3,cuMemcpyHtoDAsync_v2
0.7,27356975,6272,4361.8,2064.5,245,295882,8245.2,cudaStreamGetCaptureInfo_v2_v11030
0.6,22409725,1408,15916.0,11852.0,4858,316521,13125.1,cuMemcpyDtoDAsync_v2
0.2,8519916,2752,3095.9,900.0,131,291719,7392.2,cudaGetFuncBySymbol_v11000
0.2,6412615,8,801576.9,792146.0,689901,924095,87661.8,cuMemGetInfo_v2
0.1,5366291,344,15599.7,12498.0,4274,294419,17265.6,cudaMemsetAsync
0.0,27662,2,13831.0,13831.0,8968,18694,6877.3,cuCtxSynchronize
0.0,5857,1,5857.0,5857.0,5857,5857,0.0,cuProfilerStart
0.0,2098,1,2098.0,2098.0,2098,2098,0.0,cuProfilerStop
0.0,1790,1,1790.0,1790.0,1790,1790,0.0,cuCtxSetCurrent
