Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.2,1219090570,36779,33146.4,2380.0,524,913977,71887.3,cuMemFreeAsync
27.0,1088661607,1048,1038799.2,207456.5,12558,9590139,1382345.8,cuMemcpyDtoHAsync_v2
17.3,699578290,36779,19021.1,5531.0,572,403854,28619.0,cuMemAllocAsync
12.3,496478565,41468,11972.6,9129.0,2672,114495,7981.6,cudaLaunchKernel
6.8,273513727,28475,9605.4,6663.0,1206,304790,8020.8,cuMemsetD8Async
1.1,43994984,6208,7086.8,3917.0,480,90835,7789.7,cudaEventRecord
1.0,42177378,16,2636086.1,2629453.0,166303,5336520,2367278.2,cuStreamSynchronize
0.9,37423365,5504,6799.3,3609.0,573,76233,7413.9,cudaStreamWaitEvent
0.8,31496086,2752,11444.8,8681.0,3158,61831,7642.4,cuLaunchKernelEx
0.7,28665325,2080,13781.4,10129.0,2735,77316,10145.1,cuMemcpyHtoDAsync_v2
0.6,25828743,6272,4118.1,1944.5,245,52477,5167.0,cudaStreamGetCaptureInfo_v2_v11030
0.6,22529881,1408,16001.3,11935.5,4719,84976,11112.9,cuMemcpyDtoDAsync_v2
0.3,12493809,8,1561726.1,1658556.5,725327,1800645,347974.5,cuMemGetInfo_v2
0.2,8018396,2752,2913.7,871.0,165,51691,4857.4,cudaGetFuncBySymbol_v11000
0.1,4664489,344,13559.6,10443.5,3713,48537,8232.3,cudaMemsetAsync
0.0,22738,2,11369.0,11369.0,9072,13666,3248.4,cuCtxSynchronize
0.0,6163,1,6163.0,6163.0,6163,6163,0.0,cuProfilerStart
0.0,2042,1,2042.0,2042.0,2042,2042,0.0,cuProfilerStop
0.0,1531,1,1531.0,1531.0,1531,1531,0.0,cuCtxSetCurrent
