Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.4,1048010246,6402,163700.4,118208.0,94464,990850,109078.6,"dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
26.0,813821802,1376,591440.3,88720.5,5440,5903984,1149152.7,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
14.7,460974708,2920,157868.1,133408.0,69184,266337,58245.9,"dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
5.2,163544851,344,475421.1,528096.0,9152,1359134,305081.2,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.3,103074404,688,149817.4,35312.0,14848,10901977,617419.1,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.0,94453276,656,143983.7,151424.5,59231,225313,58146.0,"dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const int *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float, int, int, int, int)"
2.9,91758117,2920,31424.0,27424.0,20800,44928,8642.7,"dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
2.9,90263951,688,131197.6,137279.5,46688,139584,22969.4,"dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int *, int *, float *, int, int, int, int, int, float)"
2.8,88651782,1376,64427.2,64384.0,63392,66305,559.9,"dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, float *, float *, float *, int, int, int, int, float, int)"
2.1,66445233,336,197753.7,197551.5,190944,203936,2131.0,"dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int *, int, int, int, int, int, int, int, float, int)"
0.8,24937547,992,25138.7,26432.0,2367,59232,17458.9,"dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, unsigned short *, int, int, int, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.3,8965042,1536,5836.6,5696.0,4224,7040,800.8,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)
0.3,8607273,1504,5722.9,4832.0,4224,9344,1544.7,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.2,6871047,2752,2496.7,2544.0,1856,3296,369.9,"rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.2,6532679,16,408292.4,408384.5,406784,409857,866.5,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.2,6046484,656,9217.2,10624.0,6911,12544,2016.1,void cutlass::Kernel<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.2,4836654,1376,3515.0,3696.0,1696,5441,1509.3,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
0.1,4696928,2192,2142.8,2080.0,1727,2752,279.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,4286630,344,12461.1,12704.0,7679,18880,2712.9,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,4242136,2836,1495.8,1472.0,1248,2464,122.0,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.1,3747380,2148,1744.6,1600.0,1376,3840,364.0,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
0.1,3322595,688,4829.4,4816.5,4448,5568,231.2,"dsv4_pack_expert_ranks_kernel(const unsigned short *, const int *, const float *, const int *, int *, unsigned short *, int *, int *, int *, int, int, int, int, int)"
0.1,3038087,688,4415.8,5184.0,1184,5984,1664.7,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, float *, int *, int, int, int, int)"
0.1,2340611,688,3402.1,3296.0,3040,4096,261.6,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
0.1,2324598,1376,1689.4,1744.0,1088,2112,191.5,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
0.1,2205167,704,3132.3,3136.0,2176,3488,138.9,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.1,2199200,42,52361.9,52112.0,51136,55232,981.5,"dsv4_fp4_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
0.1,2175169,32,67974.0,67968.0,30592,105504,37516.2,"dsv4_swa_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, int, int, int, float, int, float, int, float, float, float)"
0.1,1942698,688,2823.7,2752.0,2367,3776,298.3,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
0.0,1294312,344,3762.5,3744.0,3456,4064,99.0,"dsv4_scatter_route_outputs_by_slot_kernel(const unsigned short *, unsigned short *, const int *, int, int)"
0.0,1171444,704,1664.0,1664.0,1536,2048,44.4,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,961569,688,1397.6,1376.0,1024,1792,159.1,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.0,933712,344,2714.3,2688.0,2560,3104,93.3,"dsv4_pack_dispatch_payload_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,844317,344,2454.4,2464.0,2367,2592,43.2,"dsv4_combine_route_slot_outputs_kernel(const unsigned short *, unsigned short *, int, int, int)"
0.0,828494,688,1204.2,1216.0,960,1408,97.1,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
0.0,810788,344,2356.9,2368.0,2208,2528,54.2,"dsv4_unpack_dispatch_payload_kernel(const unsigned short *, unsigned short *, int *, int, int, int)"
0.0,764505,344,2222.4,2240.0,2016,2592,98.4,"dsv4_sum_padded_route_outputs_by_peer_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
0.0,498935,344,1450.4,1440.0,1375,1696,68.0,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,497138,344,1445.2,1440.0,1088,1792,135.9,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
0.0,463084,344,1346.2,1344.0,1216,1472,36.6,"add_assign_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
0.0,404475,344,1175.8,1216.0,928,1408,139.4,"dsv4_init_padded_route_slots_kernel(int *, int *, int *, int)"
