name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,15126,297.8618389999996,0.01969204277403144
cuMemAllocAsync,6416,65.54040900000011,0.010215151028678322
cuMemsetD8Async,4328,60.76869300000024,0.014040825554528706
cudaEventRecord_v3020,2760,27.12082500000007,0.009826385869565243
cudaStreamGetCaptureInfo_v2_v11030,4512,21.807224999999995,0.004833161569148935
cudaStreamWaitEvent_v3020,2064,20.449541999999997,0.0099077238372093
cuLaunchKernelEx,1032,15.168686000000006,0.014698339147286828
cuMemFreeAsync,1328,11.600247000000008,0.008735125753012055
cuMemcpyHtoDAsync_v2,696,11.038271,0.015859584770114944
cuMemcpyDtoDAsync_v2,360,6.168748000000002,0.017135411111111117
cudaGetFuncBySymbol_v11000,1032,4.072959000000004,0.003946665697674423
