Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.8,1214464675,36435,33332.4,1661.0,517,907144,76074.3,cuMemFreeAsync
23.0,1044402280,704,1483526.0,248467.5,12112,6140325,1551363.6,cuMemcpyDtoHAsync_v2
15.5,702976968,36435,19294.0,5748.0,499,2035677,32419.1,cuMemAllocAsync
12.6,571491958,40417,14139.9,9086.0,2642,3602762,62803.9,cudaLaunchKernel
10.8,491040342,16,30690021.4,30896353.0,6297144,54818590,24897822.9,cuStreamSynchronize
6.5,293692211,29163,10070.7,6988.0,1206,720926,11259.2,cuMemsetD8Async
1.1,48180552,6208,7761.0,4586.0,504,102079,8054.2,cudaEventRecord
0.9,41993224,5504,7629.6,4337.0,616,93321,7861.8,cudaStreamWaitEvent
0.7,33357764,2752,12121.3,9305.0,3485,73786,7903.3,cuLaunchKernelEx
0.6,27242910,6272,4343.6,2044.0,247,73728,5517.6,cudaStreamGetCaptureInfo_v2_v11030
0.6,25260049,1736,14550.7,10801.5,3222,95609,10302.3,cuMemcpyHtoDAsync_v2
0.5,23713787,1408,16842.2,13040.5,4136,90341,10863.5,cuMemcpyDtoDAsync_v2
0.2,8408182,2752,3055.3,959.5,137,47001,4805.2,cudaGetFuncBySymbol_v11000
0.1,4685585,344,13620.9,10879.0,4560,71014,8350.9,cudaMemsetAsync
0.0,880351,8,110043.9,111326.0,49493,167463,36624.8,cuMemGetInfo_v2
0.0,26939,2,13469.5,13469.5,7654,19285,8224.4,cuCtxSynchronize
0.0,6273,1,6273.0,6273.0,6273,6273,0.0,cuProfilerStart
0.0,2997,1,2997.0,2997.0,2997,2997,0.0,cuCtxSetCurrent
0.0,2147,1,2147.0,2147.0,2147,2147,0.0,cuProfilerStop
