Processing [/root/arle-decode-hidden-scratch/docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-route-grouped/trace.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     35.1    1,033,333,684      2,064  500,646.2   71,664.5     5,184   4,808,668    837,033.7  ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)                               
     19.9      585,527,610      4,275  136,965.5  117,440.0   101,728     495,233     50,805.5  dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
     10.0      294,078,910      1,032  284,960.2  362,688.0    21,728   1,070,462    248,512.1  dsv4_fp4_route_gemv_batch_kernel(const unsigned long *, const unsigned long *, const __nv_bfloat16 …
      9.7      286,375,028      2,920   98,073.6   93,808.0    54,560     160,640     32,740.4  dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
      5.3      156,821,283        688  227,937.9   25,889.0    14,944  11,898,727    671,386.1  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)             
      3.1       91,786,936      2,920   31,433.9   27,424.0    20,800      44,864      8,644.4  dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __n…
      3.1       90,319,488        688  131,278.3  137,408.0    46,496     139,297     23,008.5  dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int …
      3.0       88,680,649      1,376   64,448.1   64,448.0    63,360      65,984        551.3  dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, cons…
      3.0       87,239,295        656  132,986.7  136,560.5    52,032     212,064     56,051.6  dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *…
      2.6       76,156,418        344  221,384.9  154,624.0     7,649   1,059,938    211,581.9  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
      2.2       63,876,227        336  190,107.8  190,016.0   182,433     196,768      2,276.6  dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int …
      0.5       15,170,129        992   15,292.5   15,520.0     2,304      33,856      9,260.1  dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short …
      0.3        8,628,487      1,504    5,737.0    4,832.0     4,225       9,280      1,547.1  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
