
NOTICE: Existing SQLite export found: docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-uninit/trace.sqlite
        It is assumed file was previously exported from: docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-uninit/trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-decode-token-uninit/trace.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     29.7      752,066,934      2,064  364,373.5   93,376.0     5,184   4,032,286    656,883.5  ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)                               
     26.6      672,388,690      5,049  133,172.6  116,545.0   101,888     496,832     47,638.2  dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
     11.3      286,618,245      2,920   98,156.9   93,856.0    54,624     162,049     32,760.7  dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
      8.9      225,014,067        688  327,055.3  216,720.0    14,784  10,047,586    551,988.9  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)             
      3.6       91,795,259      2,920   31,436.7   27,424.0    20,832      44,608      8,650.2  dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __n…
      3.6       90,327,737        688  131,290.3  137,408.0    46,464     139,552     23,023.7  dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int …
      3.5       88,641,158      1,376   64,419.4   64,400.5    63,297      65,728        517.5  dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, cons…
      3.4       87,245,409        656  132,996.1  136,608.0    52,064     211,808     56,057.2  dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *…
      3.2       80,316,919        344  233,479.4  194,448.0     7,776   1,013,122    224,403.0  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
      2.5       63,847,278        336  190,021.7  190,112.0   182,368     195,969      2,360.6  dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int …
      0.6       15,121,104        992   15,243.0   15,343.5     2,336      33,504      9,263.0  dsv4_compressor_update_kernel(const unsigned short *, const unsigned short *, const unsigned short …
      0.3        8,618,006      1,504    5,730.1    4,832.0     4,255       9,280      1,550.5  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.3        6,867,839      2,752    2,495.6    2,560.5     1,856       3,232        367.0  rms_norm_batched_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)  
      0.3        6,556,227         16  409,764.2  410,001.0   407,904     411,199        978.7  gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)    
