    PID    PPID COMMAND
      1       0 /sbin/init nopti nospectre_v2 nospec_store_bypass_disable
      2       0 [kthreadd]
      3       2 [rcu_gp]
      4       2 [rcu_par_gp]
      6       2 [kworker/0:0H-kblockd]
      9       2 [mm_percpu_wq]
     10       2 [ksoftirqd/0]
     11       2 [rcu_sched]
     12       2 [migration/0]
     14       2 [cpuhp/0]
     15       2 [cpuhp/1]
     16       2 [migration/1]
     17       2 [ksoftirqd/1]
     19       2 [kworker/1:0H-events_highpri]
     20       2 [cpuhp/2]
     21       2 [migration/2]
     22       2 [ksoftirqd/2]
     24       2 [kworker/2:0H-events_highpri]
     25       2 [cpuhp/3]
     26       2 [migration/3]
     27       2 [ksoftirqd/3]
     29       2 [kworker/3:0H-events_highpri]
     30       2 [cpuhp/4]
     31       2 [migration/4]
     32       2 [ksoftirqd/4]
     34       2 [kworker/4:0H-events_highpri]
     35       2 [cpuhp/5]
     36       2 [migration/5]
     37       2 [ksoftirqd/5]
     39       2 [kworker/5:0H-events_highpri]
     40       2 [cpuhp/6]
     41       2 [migration/6]
     42       2 [ksoftirqd/6]
     44       2 [kworker/6:0H-kblockd]
     45       2 [cpuhp/7]
     46       2 [migration/7]
     47       2 [ksoftirqd/7]
     49       2 [kworker/7:0H-events_highpri]
     50       2 [cpuhp/8]
     51       2 [migration/8]
     52       2 [ksoftirqd/8]
     54       2 [kworker/8:0H-kblockd]
     55       2 [cpuhp/9]
     56       2 [migration/9]
     57       2 [ksoftirqd/9]
     59       2 [kworker/9:0H-events_highpri]
     60       2 [cpuhp/10]
     61       2 [migration/10]
     62       2 [ksoftirqd/10]
     64       2 [kworker/10:0H-kblockd]
     65       2 [cpuhp/11]
     66       2 [migration/11]
     67       2 [ksoftirqd/11]
     69       2 [kworker/11:0H-events_highpri]
     70       2 [cpuhp/12]
     71       2 [migration/12]
     72       2 [ksoftirqd/12]
     74       2 [kworker/12:0H-events_highpri]
     75       2 [cpuhp/13]
     76       2 [migration/13]
     77       2 [ksoftirqd/13]
     79       2 [kworker/13:0H-events_highpri]
     80       2 [cpuhp/14]
     81       2 [migration/14]
     82       2 [ksoftirqd/14]
     84       2 [kworker/14:0H-events_highpri]
     85       2 [cpuhp/15]
     86       2 [migration/15]
     87       2 [ksoftirqd/15]
     89       2 [kworker/15:0H-events_highpri]
     90       2 [cpuhp/16]
     91       2 [migration/16]
     92       2 [ksoftirqd/16]
     94       2 [kworker/16:0H-events_highpri]
     95       2 [cpuhp/17]
     96       2 [migration/17]
     97       2 [ksoftirqd/17]
     99       2 [kworker/17:0H-events_highpri]
    100       2 [cpuhp/18]
    101       2 [migration/18]
    102       2 [ksoftirqd/18]
    104       2 [kworker/18:0H-kblockd]
    105       2 [cpuhp/19]
    106       2 [migration/19]
    107       2 [ksoftirqd/19]
    109       2 [kworker/19:0H-kblockd]
    110       2 [cpuhp/20]
    111       2 [migration/20]
    112       2 [ksoftirqd/20]
    114       2 [kworker/20:0H-events_highpri]
    115       2 [cpuhp/21]
    116       2 [migration/21]
    117       2 [ksoftirqd/21]
    119       2 [kworker/21:0H-events_highpri]
    120       2 [cpuhp/22]
    121       2 [migration/22]
    122       2 [ksoftirqd/22]
    124       2 [kworker/22:0H-events_highpri]
    125       2 [cpuhp/23]
    126       2 [migration/23]
    127       2 [ksoftirqd/23]
    129       2 [kworker/23:0H-events_highpri]
    130       2 [cpuhp/24]
    131       2 [migration/24]
    132       2 [ksoftirqd/24]
    134       2 [kworker/24:0H-events_highpri]
    135       2 [cpuhp/25]
    136       2 [migration/25]
    137       2 [ksoftirqd/25]
    139       2 [kworker/25:0H-events_highpri]
    140       2 [cpuhp/26]
    141       2 [migration/26]
    142       2 [ksoftirqd/26]
    144       2 [kworker/26:0H-events_highpri]
    145       2 [cpuhp/27]
    146       2 [migration/27]
    147       2 [ksoftirqd/27]
    149       2 [kworker/27:0H-events_highpri]
    150       2 [cpuhp/28]
    151       2 [migration/28]
    152       2 [ksoftirqd/28]
    154       2 [kworker/28:0H-events_highpri]
    155       2 [cpuhp/29]
    156       2 [migration/29]
