name,per_decode_range_ms,total_ms,count,avg_us,min_us,max_us
cudaLaunchKernel_v7000,23.602555,188.820436,15088,12.51461,3.007,102.139
cuMemAllocAsync,18.331517,146.652136,7760,18.898471,0.702,587.351
cuMemcpyDtoHAsync_v2,17.129751,137.038007,887,154.496062,11.888,965.602
cuMemFreeAsync,13.587612,108.700898,6048,17.973032,0.518,367.455
cuMemsetD8Async,13.176307,105.410456,8838,11.926958,1.573,89.999
cudaEventRecord_v3020,5.017276,40.138211,4136,9.704596,0.49,70.413
cudaStreamWaitEvent_v3020,4.137898,33.103187,3440,9.623019,0.613,82.729
cuLaunchKernelEx,3.14451,25.156082,1720,14.625629,3.918,80.311
cudaStreamGetCaptureInfo_v2_v11030,2.692163,21.537306,5200,4.14179,0.244,56.592
cuMemcpyHtoDAsync_v2,1.448054,11.584432,895,12.943499,2.697,55.791
cuMemcpyDtoDAsync_v2,1.318326,10.546605,613,17.204902,5.06,86.643
cudaGetFuncBySymbol_v11000,0.950134,7.601076,1720,4.41923,0.139,49.822
