total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
222.447365,9136,27.805921,24.348442,0.56,656.059,cuMemAllocAsync
176.882358,7424,22.110295,23.825749,0.461,678.648,cuMemFreeAsync
158.425493,15088,19.803187,10.500099,2.985,72.053,cudaLaunchKernel_v7000
150.256974,887,18.782122,169.399069,11.565,1358.583,cuMemcpyDtoHAsync_v2
105.256889,10214,13.157111,10.305159,1.631,190.923,cuMemsetD8Async
34.390832,4136,4.298854,8.314998,0.489,71.109,cudaEventRecord_v3020
30.572896,3440,3.821612,8.88747,0.567,61.424,cudaStreamWaitEvent_v3020
22.441254,1720,2.805157,13.047241,3.371,70.022,cuLaunchKernelEx
16.811663,5200,2.101458,3.233012,0.244,63.053,cudaStreamGetCaptureInfo_v2_v11030
14.356999,871,1.794625,16.483351,3.987,76.39,cuMemcpyDtoDAsync_v2
11.777436,895,1.472179,13.159146,2.691,72.683,cuMemcpyHtoDAsync_v2
6.745171,1720,0.843146,3.921611,0.14,49.236,cudaGetFuncBySymbol_v11000
