Processing [/root/arle-decode-hidden-scratch/docs/trace-artifacts/2026-05-15-dsv4-deepep/nsys-single-token-padded-dispatch-skip-count/trace.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                                  Name
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     30.6      758,510,965      2,064  367,495.6  103,056.0     5,216   4,085,021    650,301.8  ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
     27.2      672,224,888      5,049  133,140.2  116,641.0   101,664     492,672     47,633.4  dsv4_fp4_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
     11.6      286,559,662      2,920   98,136.9   93,984.0    55,424     161,312     32,734.6  dsv4_fp8_gemv_batch_tiled_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 …
      7.4      182,372,380        688  265,076.1  122,608.0    14,784  11,406,820    604,052.4  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
      3.7       91,829,729      2,920   31,448.5   27,424.0    20,768      45,152      8,646.0  dsv4_fp8_gemv_batch_kernel(const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __n…
      3.6       90,302,427        688  131,253.5  137,408.0    46,432     139,424     23,016.0  dsv4_route_kernel(const unsigned short *, const unsigned short *, const long *, const unsigned int …
      3.6       88,613,299      1,376   64,399.2   64,416.0    63,360      65,856        526.8  dsv4_mhc_params_kernel(const unsigned short *, const unsigned short *, const unsigned short *, cons…
      3.5       87,216,882        656  132,952.6  136,383.5    52,160     212,032     56,043.3  dsv4_hybrid_attention_kernel(const unsigned short *, const unsigned short *, const unsigned short *…
      2.6       63,843,743        336  190,011.1  190,080.0   182,400     196,096      2,390.5  dsv4_csa_select_kernel(const unsigned short *, const unsigned short *, const unsigned short *, int …
