name,per_decode_range_ms,total_ms,count,avg_us,min_us,max_us
cuMemAllocAsync,30.884019,247.072149,9136,27.043799,0.646,375.461
cuMemFreeAsync,23.027327,184.218613,7424,24.81393,0.503,442.823
cuMemcpyDtoHAsync_v2,20.332252,162.658018,887,183.379953,11.422,1109.332
cudaLaunchKernel_v7000,17.784779,142.278229,15088,9.429893,3.005,109.217
cuMemsetD8Async,11.902644,95.221154,10214,9.322612,1.658,89.562
cudaEventRecord_v3020,3.971568,31.772541,4136,7.681949,0.473,100.749
cudaStreamWaitEvent_v3020,3.575847,28.606775,3440,8.315923,0.598,64.668
cuLaunchKernelEx,2.711707,21.693657,1720,12.612591,3.341,90.642
cudaStreamGetCaptureInfo_v2_v11030,1.734979,13.879836,5200,2.669199,0.243,54.5
cuMemcpyHtoDAsync_v2,1.392793,11.142342,895,12.449544,2.588,52.764
cuMemcpyDtoDAsync_v2,1.240126,9.921007,613,16.184351,5.87,74.162
cudaGetFuncBySymbol_v11000,0.788314,6.306516,1720,3.666579,0.14,66.985
