total_ms,count,per_decode_range_ms,avg_us,min_us,max_us,name
225.158361,7416,28.144795,30.36116,0.597,432.898,cuMemAllocAsync
196.147524,7424,24.518441,26.420733,0.496,457.396,cuMemFreeAsync
157.972121,871,19.746515,181.368681,11.976,1342.398,cuMemcpyDtoHAsync_v2
144.432283,15056,18.054035,9.593005,2.869,78.841,cudaLaunchKernel_v7000
78.162908,8462,9.770363,9.236931,1.498,62.989,cuMemsetD8Async
31.478856,4136,3.934857,7.610942,0.487,72.778,cudaEventRecord_v3020
28.257494,3440,3.532187,8.214388,0.604,74.034,cudaStreamWaitEvent_v3020
21.175466,1720,2.646933,12.311317,3.175,68.231,cuLaunchKernelEx
14.854468,5200,1.856808,2.856628,0.243,47.17,cudaStreamGetCaptureInfo_v2_v11030
14.02258,823,1.752823,17.038372,4.877,79.826,cuMemcpyDtoDAsync_v2
11.200368,879,1.400046,12.742171,2.559,87.963,cuMemcpyHtoDAsync_v2
6.055817,1720,0.756977,3.520824,0.146,59.754,cudaGetFuncBySymbol_v11000
